Soil_Type,Temperature,Rainfall,Humidity,Sunlight,Season,Crop_Type,Soil_Moisture,Fertilizer_Required,Water_Required,pH_Level,Organic_Matter,Nutrient_Content,Soil_Compaction,Is_Suitable_For_Agriculture
Loamy,30.53819218,1285.673353,73.91354013,8.569443181,Monsoon,Rice,30.47559042,72.40783324,135.1424901,6.534128145,2.880807742,High,2.175506605,0
Clay,19.06656475,839.2966951,65.28123987,8.417940656,Summer,Soybean,57.85349589,77.10839111,110.1854765,6.911927977,3.754878973,Low,1.867040345,0
Sandy,24.93414071,652.7506667,63.39008936,7.924023455,Summer,Corn,56.17357515,84.80497401,143.827726,6.36374966,1.062619894,Medium,1.589513541,1
Loamy,20.88834957,614.6081758,57.9743093,10.39183527,Monsoon,Corn,44.28061204,28.07434962,37.00215894,7.184294943,3.286182247,Medium,2.088627345,1
Loamy,23.24031589,1032.975797,79.9902375,7.025206396,Summer,Rice,39.6613535,26.66136531,107.6777019,6.897551979,4.863101381,High,1.71589394,0
Loamy,22.42704082,611.3852839,53.28681702,9.378586858,Summer,Soybean,64.74684145,36.0844601,66.41592162,5.613368619,3.718755779,Medium,2.359091291,1
Clay,24.8161005,1465.623488,72.44470391,6.326011449,Summer,Rice,48.14905518,30.35209161,33.28869312,6.49514735,1.487735143,High,1.887507485,1
Clay,33.20850396,1160.823752,84.20991786,8.338484165,Monsoon,Rice,24.14175336,74.63087655,93.03141506,7.284947396,1.02436432,High,1.536528771,1
Clay,20.85504298,564.3354639,66.61645947,7.805227553,Monsoon,Soybean,28.94249455,24.11334313,87.47530122,6.518610696,4.273387112,High,1.902867265,1
Sandy,21.865682,625.0513227,56.73920525,11.21801494,Monsoon,Corn,11.6656963,97.98390886,47.40870496,5.955511255,2.86930253,Low,2.21699582,1
Loamy,22.53091688,205.3670658,40.30523901,10.85221797,Monsoon,Barley,60.34179016,79.51019545,57.81309061,6.284881701,2.584812422,Medium,2.445908133,0
